c,i0,p2h,gate,unt,arr_d,flujo04,untreated,treated,adult,child,mape_t5,mape_f8,max_err
2.550,2800,0.0140,0.007201,0.010562,223.59,4974.4,51.0,17.0,33.0,1.0,15.346,9.972,15.346
2.550,2800,0.0150,0.006880,0.010089,234.00,5233.6,51.0,18.0,34.0,2.0,5.284,11.903,11.903
2.550,3000,0.0070,0.011273,0.016603,142.82,2995.1,52.0,16.0,33.0,2.0,1.791,37.377,37.377
2.550,3000,0.0080,0.010199,0.015005,157.82,3361.6,52.0,16.0,32.0,2.0,2.542,29.645,29.645
2.550,3000,0.0085,0.009747,0.014333,165.18,3539.6,53.0,15.0,31.0,2.0,5.035,25.884,25.884
2.550,3000,0.0090,0.009338,0.013727,172.41,3714.1,52.0,16.0,32.0,2.0,2.542,22.192,22.192
2.550,3000,0.0095,0.008974,0.013186,179.41,3885.1,51.0,17.0,32.0,2.0,4.192,18.568,18.568
2.550,3000,0.0100,0.008647,0.012703,186.18,4052.8,52.0,17.0,32.0,2.0,4.114,15.011,15.011
2.550,3000,0.0110,0.008070,0.011848,199.50,4378.2,51.0,16.0,33.0,2.0,1.869,9.558,9.558
2.550,3000,0.0120,0.007588,0.011134,212.23,4690.6,53.0,17.0,33.0,2.0,3.848,7.696,7.696
2.550,3000,0.0130,0.007177,0.010527,224.36,4990.5,49.0,18.0,33.0,2.0,5.983,9.498,9.498
2.550,3000,0.0140,0.006822,0.010003,236.00,5278.2,53.0,17.0,32.0,2.0,4.599,11.913,11.913
2.550,3000,0.0150,0.006517,0.009553,247.09,5554.0,50.0,18.0,34.0,2.0,5.768,17.063,17.063
2.550,3200,0.0070,0.010763,0.015844,149.59,3161.1,53.0,17.0,33.0,2.0,3.848,34.059,34.059
2.550,3200,0.0080,0.009725,0.014302,165.55,3548.5,52.0,17.0,32.0,2.0,4.114,25.908,25.908
2.550,3200,0.0085,0.009292,0.013658,173.27,3736.6,52.0,17.0,31.0,2.0,4.864,21.942,21.942
2.550,3200,0.0090,0.008902,0.013079,180.86,3921.0,51.0,16.0,33.0,2.0,1.869,18.049,18.049
2.550,3200,0.0095,0.008553,0.012563,188.23,4101.9,52.0,17.0,32.0,2.0,4.114,14.227,14.227
2.550,3200,0.0100,0.008235,0.012092,195.50,4279.3,50.0,17.0,34.0,2.0,4.196,10.475,10.475
2.550,3200,0.0110,0.007685,0.011278,209.55,4623.5,51.0,17.0,33.0,2.0,3.441,7.692,7.692
2.550,3200,0.0120,0.007220,0.010590,223.00,4954.2,53.0,16.0,32.0,2.0,3.026,8.746,8.746
2.550,3200,0.0130,0.006827,0.010011,235.82,5271.7,52.0,18.0,33.0,2.0,4.936,11.254,11.254
2.550,3200,0.0140,0.006490,0.009512,248.09,5576.3,51.0,18.0,33.0,2.0,5.014,17.125,17.125
2.550,3200,0.0150,0.006197,0.009080,259.82,5868.6,51.0,17.0,33.0,2.0,3.441,23.387,23.387
